COBERTURA,ANIO,MES,GRUPO_PRODUCTO,PRODUCTO,UNIDAD_MEDIDA,VOLUMEN,VALOR,INDICE,ESTATUS
Nacional,2001,Mayo,Metales Industriales No Ferrosos,Cobre,Toneladas,27955.0,457227.676,124.883,Cifras Definitivas.
Nacional,2001,Mayo,Metales Industriales No Ferrosos,Zinc,Toneladas,37722.0,352265.845,113.933,Cifras Definitivas.
Nacional,2001,Mayo,Metales Industriales No Ferrosos,Antimonio,Toneladas,1.0,0.0,3.158,Cifras Definitivas.
Nacional,2001,Mayo,Metales Industriales No Ferrosos,Arsenico,Toneladas,239.0,1733.774,559.064,Cifras Definitivas.
Nacional,2001,Mayo,Metales Industriales No Ferrosos,Bismuto,Toneladas,144.0,10991.824,152.65,Cifras Definitivas.
Nacional,2001,Mayo,Metales Industriales No Ferrosos,Estaño,Toneladas,0.0,0.047,0.0,Cifras Definitivas.
Nacional,2001,Mayo,Metales Industriales No Ferrosos,Cadmio,Toneladas,99.0,474.793,76.645,Cifras Definitivas.
Nacional,2001,Mayo,Metales Industriales No Ferrosos,Molibdeno,Toneladas,470.0,22890.528,72.197,Cifras Definitivas.
Nacional,2001,Mayo,Metales y Minerales Siderúrgicos,Carbon No Coquizable,Toneladas,544946.0,164737.302,62.862,Cifras Definitivas.
Nacional,2001,Mayo,Metales y Minerales Siderúrgicos,Coque,Toneladas,187712.0,277308.815,145.57,Cifras Definitivas.
Nacional,2001,Mayo,Metales y Minerales Siderúrgicos,Pellets de fierro,Toneladas,475902.0,101552.667,73.917,Cifras Definitivas.
Nacional,2001,Mayo,Metales y Minerales Siderúrgicos,Manganeso,Toneladas,1264.0,1170.135,8.927,Cifras Definitivas.
Nacional,2001,Mayo,Minerales No Metálicos,Azufre,Toneladas,76931.0,50277.668,88.672,Cifras Definitivas.
Nacional,2001,Mayo,Minerales No Metálicos,Grafito,Toneladas,2833.0,5891.056,470.273,Cifras Definitivas.
Nacional,2001,Mayo,Minerales No Metálicos,Barita,Toneladas,10339.0,7323.951,88.578,Cifras Definitivas.
Nacional,2001,Mayo,Minerales No Metálicos,Dolomita,Toneladas,54890.0,10923.11,53.378,Cifras Definitivas.
Nacional,2001,Mayo,Minerales No Metálicos,Fluorita,Toneladas,66503.0,67936.707,75.454,Cifras Definitivas.
Nacional,2001,Mayo,Minerales No Metálicos,Caolin,Toneladas,7809.0,5351.843,110.126,Cifras Definitivas.
Nacional,2001,Mayo,Minerales No Metálicos,Arena Silica,Toneladas,144625.0,29230.724,62.449,Cifras Definitivas.
Nacional,2001,Mayo,Minerales No Metálicos,Yeso,Toneladas,369144.0,43318.687,86.263,Cifras Definitivas.
Nacional,2001,Mayo,Minerales No Metálicos,Fosforita,Toneladas,82481.0,28648.596,102.134,Cifras Definitivas.
Nacional,2001,Mayo,Minerales No Metálicos,Wollastonita,Toneladas,1486.0,2899.388,38.067,Cifras Definitivas.
Nacional,2001,Mayo,Minerales No Metálicos,Celestita,Toneladas,15186.0,7971.739,615.212,Cifras Definitivas.
Nacional,2001,Mayo,Minerales No Metálicos,Feldespato,Toneladas,27323.0,11565.9,73.594,Cifras Definitivas.
Nacional,2001,Mayo,Minerales No Metálicos,Sal,Toneladas,716652.0,80257.857,97.629,Cifras Definitivas.
Nacional,2001,Mayo,Minerales No Metálicos,Diatomita,Toneladas,3878.0,6925.332,36.205,Cifras Definitivas.
Nacional,2001,Mayo,Minerales No Metálicos,Sulfato de Sodio,Toneladas,45000.0,34578.0,87.379,Cifras Definitivas.
Nacional,2001,Mayo,Minerales No Metálicos,Sulfato de Magnesio,Toneladas,2022.0,1752.692,56.358,Cifras Definitivas.
Nacional,2001,Junio,Metales Preciosos,Oro,Kilogramos,2001.5,158823.824,47.7,Cifras Definitivas.
Nacional,2001,Junio,Metales Preciosos,Plata,Kilogramos,192772.0,246105.809,86.703,Cifras Definitivas.
Nacional,2001,Junio,Metales Industriales No Ferrosos,Plomo,Toneladas,11234.0,45364.763,133.838,Cifras Definitivas.
Nacional,2001,Junio,Metales Industriales No Ferrosos,Cobre,Toneladas,28122.0,433479.176,125.629,Cifras Definitivas.
Nacional,2001,Junio,Metales Industriales No Ferrosos,Zinc,Toneladas,35567.0,316124.368,107.425,Cifras Definitivas.
Nacional,2001,Junio,Metales Industriales No Ferrosos,Antimonio,Toneladas,0.0,0.0,0.0,Cifras Definitivas.
Nacional,2001,Junio,Metales Industriales No Ferrosos,Arsenico,Toneladas,224.0,1616.373,523.977,Cifras Definitivas.
Nacional,2001,Junio,Metales Industriales No Ferrosos,Bismuto,Toneladas,120.0,9106.538,127.208,Cifras Definitivas.
Nacional,2001,Junio,Metales Industriales No Ferrosos,Estaño,Toneladas,1.0,44.117,80.0,Cifras Definitivas.
Nacional,2001,Junio,Metales Industriales No Ferrosos,Cadmio,Toneladas,124.0,622.271,96.0,Cifras Definitivas.
Nacional,2001,Junio,Metales Industriales No Ferrosos,Molibdeno,Toneladas,363.0,18117.707,55.76,Cifras Definitivas.
Nacional,2001,Junio,Metales y Minerales Siderúrgicos,Carbon No Coquizable,Toneladas,489572.0,147997.742,56.475,Cifras Definitivas.
Nacional,2001,Junio,Metales y Minerales Siderúrgicos,Coque,Toneladas,181384.0,269743.402,140.663,Cifras Definitivas.
Nacional,2001,Junio,Metales y Minerales Siderúrgicos,Pellets de fierro,Toneladas,482544.0,104890.607,74.949,Cifras Definitivas.
Nacional,2001,Junio,Metales y Minerales Siderúrgicos,Manganeso,Toneladas,9060.0,8342.882,63.988,Cifras Definitivas.
Nacional,2001,Junio,Minerales No Metálicos,Azufre,Toneladas,79089.0,51414.491,91.16,Cifras Definitivas.
Nacional,2001,Junio,Minerales No Metálicos,Grafito,Toneladas,2494.0,5158.721,413.999,Cifras Definitivas.
Nacional,2001,Junio,Minerales No Metálicos,Barita,Toneladas,11664.0,8218.895,99.93,Cifras Definitivas.
Nacional,2001,Junio,Minerales No Metálicos,Dolomita,Toneladas,54810.0,10907.19,53.3,Cifras Definitivas.
Nacional,2001,Junio,Minerales No Metálicos,Fluorita,Toneladas,66782.0,67861.222,75.77,Cifras Definitivas.
Nacional,2001,Junio,Minerales No Metálicos,Caolin,Toneladas,7800.0,5226.137,109.999,Cifras Definitivas.
Nacional,2001,Junio,Minerales No Metálicos,Arena Silica,Toneladas,154786.0,30584.794,66.836,Cifras Definitivas.
Nacional,2001,Junio,Minerales No Metálicos,Yeso,Toneladas,327125.0,37529.391,76.444,Cifras Definitivas.
Nacional,2001,Junio,Minerales No Metálicos,Fosforita,Toneladas,86481.0,29879.022,107.087,Cifras Definitivas.
Nacional,2001,Junio,Minerales No Metálicos,Wollastonita,Toneladas,1810.0,3531.556,46.367,Cifras Definitivas.
Nacional,2001,Junio,Minerales No Metálicos,Celestita,Toneladas,12998.0,6823.328,526.572,Cifras Definitivas.
Nacional,2001,Junio,Minerales No Metálicos,Feldespato,Toneladas,31659.0,13330.5,85.273,Cifras Definitivas.
Nacional,2001,Junio,Minerales No Metálicos,Sal,Toneladas,714812.0,80051.796,97.378,Cifras Definitivas.
Nacional,2001,Junio,Minerales No Metálicos,Diatomita,Toneladas,3935.0,7027.123,36.737,Cifras Definitivas.
Nacional,2001,Junio,Minerales No Metálicos,Sulfato de Sodio,Toneladas,40000.0,30736.0,77.67,Cifras Definitivas.
Nacional,2001,Junio,Minerales No Metálicos,Sulfato de Magnesio,Toneladas,1977.0,1713.686,55.104,Cifras Definitivas.
Nacional,2001,Julio,Metales Preciosos,Oro,Kilogramos,1949.0,154327.372,46.437,Cifras Definitivas.
Nacional,2001,Julio,Metales Preciosos,Plata,Kilogramos,218109.0,273765.165,98.099,Cifras Definitivas.
Nacional,2001,Julio,Metales Industriales No Ferrosos,Plomo,Toneladas,8723.0,36873.362,103.923,Cifras Definitivas.
Nacional,2001,Julio,Metales Industriales No Ferrosos,Cobre,Toneladas,22607.0,336234.466,100.992,Cifras Definitivas.
Nacional,2001,Julio,Metales Industriales No Ferrosos,Zinc,Toneladas,37233.0,318858.334,112.456,Cifras Definitivas.
Nacional,2001,Julio,Metales Industriales No Ferrosos,Antimonio,Toneladas,0.0,0.0,0.0,Cifras Definitivas.
Nacional,2001,Julio,Metales Industriales No Ferrosos,Arsenico,Toneladas,228.0,1657.27,533.333,Cifras Definitivas.
Nacional,2001,Julio,Metales Industriales No Ferrosos,Bismuto,Toneladas,109.0,8398.216,115.548,Cifras Definitivas.
Nacional,2001,Julio,Metales Industriales No Ferrosos,Estaño,Toneladas,1.0,34.718,64.0,Cifras Definitivas.
Nacional,2001,Julio,Metales Industriales No Ferrosos,Cadmio,Toneladas,119.0,600.362,94.452,Cifras Definitivas.
